NAME,RTG,TEAM,DEP,BYE,GP,FPTS,SNAP,TOUCH,#,%,ATT,COMP,YDS,TD,INT,300+,RUSH,RUSHYDS,RUSHTD,WEEK
Dak Prescott,91,DAL,1,9,1,15.7,4.5,0.4,71,100,39,24,284,1,2,0,6,23,0,14
Kyler Murray,82,ARI,1,13,1,0.7,4.3,1.4,3,4,1,1,9,0,0,0,1,3,0,14
Jalen Hurts,87,PHI,1,7,1,36.7,2,0.5,73,100,37,22,315,0,2,1,17,61,3,15
Josh Allen,95,BUF,1,7,1,35.9,2.2,0.3,78,100,40,25,304,4,0,1,10,77,0,15
Patrick Mahomes,97,KC,1,8,1,32.7,2.4,0.2,77,100,41,36,336,2,0,1,5,33,1,15
Joe Burrow,94,CIN,1,10,1,25.8,2.6,0.1,66,100,39,27,200,4,1,0,3,8,0,15
Dak Prescott,91,DAL,1,9,1,22.2,3.4,0.2,75,100,30,23,256,3,2,0,5,20,0,15
Justin Herbert,87,LAC,1,8,1,10.7,6.6,0.1,71,100,42,28,197,0,2,0,1,2,0,15
Dak Prescott,91,DAL,1,9,1,29,2.5,0.2,73,100,35,27,347,3,1,1,6,41,0,16
Joe Burrow,94,CIN,1,10,1,25.5,3.3,0.2,83,100,52,40,375,3,2,1,4,5,0,16
Josh Allen,95,BUF,1,7,1,25,2.6,0.2,64,100,26,15,172,2,2,0,6,41,1,16
Patrick Mahomes,97,KC,1,8,1,23.8,2.2,0.1,53,100,28,16,224,2,0,0,2,8,1,16
Russell Wilson,75,DEN,1,9,1,11.3,4.4,0.2,50,74.6,27,15,214,1,3,0,2,17,0,16
Justin Herbert,87,LAC,1,8,1,6.5,10.5,0.8,68,100,31,24,235,0,1,0,5,1,0,16
Patrick Mahomes,97,KC,1,8,1,26,2.3,0.2,60,100,42,29,328,3,1,1,4,8,0,17
Russell Wilson,75,DEN,1,9,1,24.6,2.8,0.2,70,100,38,26,222,1,1,0,4,27,2,17
Justin Herbert,87,LAC,1,8,1,16.7,3.1,0.1,51,79.7,28,21,212,2,0,0,1,2,0,17
Dak Prescott,91,DAL,1,9,1,16.4,4.9,0.2,80,100,41,29,282,2,2,0,3,11,0,17
